Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-09-20 09:30:00-04:00,117.05999755859375,117.55999755859375,116.94999694824219,117.4166030883789,117.4166030883789,26092571,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:31:00-04:00,117.43000030517578,117.69000244140625,117.0999984741211,117.68699645996094,117.68699645996094,1161391,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:32:00-04:00,117.69000244140625,117.80000305175781,117.12999725341797,117.32969665527344,117.32969665527344,1286436,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:33:00-04:00,117.32689666748047,117.7300033569336,117.30000305175781,117.61000061035156,117.61000061035156,992662,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:34:00-04:00,117.61000061035156,118.11499786376953,117.55999755859375,117.96499633789062,117.96499633789062,1711377,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:35:00-04:00,117.96499633789062,118.44999694824219,117.9000015258789,118.43000030517578,118.43000030517578,1456271,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:36:00-04:00,118.43000030517578,118.61810302734375,118.30000305175781,118.36990356445312,118.36990356445312,1696398,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:37:00-04:00,118.20989990234375,118.52999877929688,118.19000244140625,118.33399963378906,118.33399963378906,1016206,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:38:00-04:00,118.32009887695312,118.447998046875,118.12999725341797,118.2699966430664,118.2699966430664,916310,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:39:00-04:00,118.26010131835938,118.31999969482422,117.8499984741211,117.88999938964844,117.88999938964844,1057402,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:40:00-04:00,117.91000366210938,118.1500015258789,117.7699966430664,117.80999755859375,117.80999755859375,975710,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:41:00-04:00,117.81999969482422,117.94000244140625,117.7300033569336,117.94000244140625,117.94000244140625,839243,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:42:00-04:00,117.93000030517578,118.12000274658203,117.9000015258789,118.06500244140625,118.06500244140625,802661,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:43:00-04:00,118.06520080566406,118.32499694824219,117.95999908447266,118.2698974609375,118.2698974609375,986898,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:44:00-04:00,118.27999877929688,118.29989624023438,117.91000366210938,117.95099639892578,117.95099639892578,771098,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:45:00-04:00,117.95999908447266,118.13999938964844,117.8499984741211,118.0,118.0,820867,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:46:00-04:00,118.0250015258789,118.43000030517578,118.01000213623047,118.27010345458984,118.27010345458984,969262,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:47:00-04:00,118.27300262451172,118.36000061035156,118.13999938964844,118.24120330810547,118.24120330810547,739170,0.0,0.0,2024-09-20,1d,1m
2024-09-20 09:48:00-04:00,118.25,118.5,118.05999755859375,118.07499694824219,118.07499694824219,990101,0.0,0.0,2024-09-20,1d,1m
