Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2022-09-19 00:00:00-04:00,123.3499984741211,124.4000015258789,112.05999755859375,113.77999877929688,113.77999877929688,226553200,0.0,0.0,2024-09-20,2y,1wk
2022-09-26 00:00:00-04:00,113.30000305175781,118.69999694824219,112.83999633789062,113.0,113.0,297031100,0.0,0.0,2024-09-20,2y,1wk
2022-10-03 00:00:00-04:00,113.58000183105469,123.0,112.44999694824219,114.55999755859375,114.55999755859375,258903800,0.0,0.0,2024-09-20,2y,1wk
2022-10-10 00:00:00-04:00,115.0999984741211,116.25,105.3499984741211,106.9000015258789,106.9000015258789,299106000,0.0,0.0,2024-09-20,2y,1wk
2022-10-17 00:00:00-04:00,110.11000061035156,119.58999633789062,110.08999633789062,119.31999969482422,119.31999969482422,280043100,0.0,0.0,2024-09-20,2y,1wk
2022-10-24 00:00:00-04:00,119.9800033569336,121.31999969482422,97.66000366210938,103.41000366210938,103.41000366210938,522007200,0.0,0.0,2024-09-20,2y,1wk
2022-10-31 00:00:00-04:00,103.55999755859375,104.87000274658203,88.04000091552734,90.9800033569336,90.9800033569336,654167800,0.0,0.0,2024-09-20,2y,1wk
2022-11-07 00:00:00-05:00,91.94999694824219,101.19000244140625,85.87000274658203,100.79000091552734,100.79000091552734,542000700,0.0,0.0,2024-09-20,2y,1wk
2022-11-14 00:00:00-05:00,98.7699966430664,103.79000091552734,92.4800033569336,94.13999938964844,94.13999938964844,453874300,0.0,0.0,2024-09-20,2y,1wk
2022-11-21 00:00:00-05:00,93.97000122070312,95.0199966430664,90.58999633789062,93.41000366210938,93.41000366210938,241025600,0.0,0.0,2024-09-20,2y,1wk
2022-11-28 00:00:00-05:00,93.93000030517578,97.2300033569336,91.44000244140625,94.12999725341797,94.12999725341797,384300600,0.0,0.0,2024-09-20,2y,1wk
2022-12-05 00:00:00-05:00,93.05000305175781,94.05999755859375,87.4800033569336,89.08999633789062,89.08999633789062,355830400,0.0,0.0,2024-09-20,2y,1wk
2022-12-12 00:00:00-05:00,89.20999908447266,96.25,86.7300033569336,87.86000061035156,87.86000061035156,463456800,0.0,0.0,2024-09-20,2y,1wk
2022-12-19 00:00:00-05:00,87.51000213623047,87.62999725341797,82.25,85.25,85.25,356012000,0.0,0.0,2024-09-20,2y,1wk
2022-12-26 00:00:00-05:00,84.97000122070312,85.3499984741211,81.69000244140625,84.0,84.0,232909700,0.0,0.0,2024-09-20,2y,1wk
2023-01-02 00:00:00-05:00,85.45999908447266,86.9800033569336,81.43000030517578,86.08000183105469,86.08000183105469,296825300,0.0,0.0,2024-09-20,2y,1wk
2023-01-09 00:00:00-05:00,87.45999908447266,98.37000274658203,87.08000183105469,98.12000274658203,98.12000274658203,406953100,0.0,0.0,2024-09-20,2y,1wk
2023-01-16 00:00:00-05:00,98.68000030517578,99.31999969482422,92.86000061035156,97.25,97.25,288809600,0.0,0.0,2024-09-20,2y,1wk
2023-01-23 00:00:00-05:00,97.55999755859375,103.48999786376953,91.5199966430664,102.23999786376953,102.23999786376953,393991400,0.0,0.0,2024-09-20,2y,1wk
2023-01-30 00:00:00-05:00,101.08999633789062,114.0,99.01000213623047,103.38999938964844,103.38999938964844,520198300,0.0,0.0,2024-09-20,2y,1wk
2023-02-06 00:00:00-05:00,102.93000030517578,103.94999694824219,96.2300033569336,97.61000061035156,97.61000061035156,394687400,0.0,0.0,2024-09-20,2y,1wk
2023-02-13 00:00:00-05:00,97.8499984741211,101.16999816894531,95.6500015258789,97.19999694824219,97.19999694824219,273370600,0.0,0.0,2024-09-20,2y,1wk
2023-02-20 00:00:00-05:00,95.33999633789062,97.01000213623047,92.31999969482422,93.5,93.5,221635300,0.0,0.0,2024-09-20,2y,1wk
2023-02-27 00:00:00-05:00,94.27999877929688,94.94000244140625,90.38999938964844,94.9000015258789,94.9000015258789,254998100,0.0,0.0,2024-09-20,2y,1wk
2023-03-06 00:00:00-05:00,95.19000244140625,96.55000305175781,90.25,90.7300033569336,90.7300033569336,272158400,0.0,0.0,2024-09-20,2y,1wk
2023-03-13 00:00:00-04:00,89.97000122070312,100.98999786376953,88.12000274658203,98.94999694824219,98.94999694824219,375788700,0.0,0.0,2024-09-20,2y,1wk
2023-03-20 00:00:00-04:00,98.41000366210938,102.0999984741211,95.69999694824219,98.12999725341797,98.12999725341797,292116300,0.0,0.0,2024-09-20,2y,1wk
2023-03-27 00:00:00-04:00,99.06999969482422,103.48999786376953,96.29000091552734,103.29000091552734,103.29000091552734,245608400,0.0,0.0,2024-09-20,2y,1wk
2023-04-03 00:00:00-04:00,102.30000305175781,104.19999694824219,99.80000305175781,102.05999755859375,102.05999755859375,178781600,0.0,0.0,2024-09-20,2y,1wk
2023-04-10 00:00:00-04:00,100.95999908447266,103.19999694824219,97.70999908447266,102.51000213623047,102.51000213623047,273789600,0.0,0.0,2024-09-20,2y,1wk
2023-04-17 00:00:00-04:00,103.16000366210938,108.1500015258789,101.38999938964844,106.95999908447266,106.95999908447266,282580000,0.0,0.0,2024-09-20,2y,1wk
2023-04-24 00:00:00-04:00,107.66000366210938,110.86000061035156,102.44999694824219,105.44999694824219,105.44999694824219,488932400,0.0,0.0,2024-09-20,2y,1wk
2023-05-01 00:00:00-04:00,104.94999694824219,105.95999908447266,101.1500015258789,105.66000366210938,105.66000366210938,315507800,0.0,0.0,2024-09-20,2y,1wk
2023-05-08 00:00:00-04:00,105.04000091552734,113.27999877929688,104.69999694824219,110.26000213623047,110.26000213623047,296882800,0.0,0.0,2024-09-20,2y,1wk
2023-05-15 00:00:00-04:00,111.1500015258789,118.5999984741211,109.25,116.25,116.25,318303500,0.0,0.0,2024-09-20,2y,1wk
2023-05-22 00:00:00-04:00,116.7699966430664,121.5,113.77999877929688,120.11000061035156,120.11000061035156,365081900,0.0,0.0,2024-09-20,2y,1wk
2023-05-29 00:00:00-04:00,122.37000274658203,126.38999938964844,119.16999816894531,124.25,124.25,252705700,0.0,0.0,2024-09-20,2y,1wk
2023-06-05 00:00:00-04:00,123.36000061035156,127.4000015258789,120.62999725341797,123.43000030517578,123.43000030517578,302797900,0.0,0.0,2024-09-20,2y,1wk
