Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2022-10-10 00:00:00-04:00,233.0500030517578,237.24000549316406,219.1300048828125,228.55999755859375,224.68653869628906,154871900,0.0,0.0,2024-10-09,2y,1wk
2022-10-17 00:00:00-04:00,235.82000732421875,243.92999267578125,234.2899932861328,242.1199951171875,238.01673889160156,122568300,0.0,0.0,2024-10-09,2y,1wk
2022-10-24 00:00:00-04:00,243.75999450683594,251.0399932861328,225.77999877929688,235.8699951171875,231.87266540527344,223302200,0.0,0.0,2024-10-09,2y,1wk
2022-10-31 00:00:00-04:00,233.75999450683594,235.74000549316406,213.42999267578125,221.38999938964844,217.63803100585938,170779600,0.0,0.0,2024-10-09,2y,1wk
2022-11-07 00:00:00-05:00,221.99000549316406,247.99000549316406,221.27999877929688,247.11000061035156,242.92218017578125,170431600,0.0,0.0,2024-10-09,2y,1wk
2022-11-14 00:00:00-05:00,241.99000549316406,247.0,237.6300048828125,241.22000122070312,237.1320037841797,137343700,0.68,0.0,2024-10-09,2y,1wk
2022-11-21 00:00:00-05:00,241.42999267578125,248.6999969482422,240.7100067138672,247.49000549316406,243.9813690185547,74769700,0.0,0.0,2024-10-09,2y,1wk
2022-11-28 00:00:00-05:00,246.0800018310547,256.1199951171875,238.2100067138672,255.02000427246094,251.40463256835938,137898700,0.0,0.0,2024-10-09,2y,1wk
2022-12-05 00:00:00-05:00,252.00999450683594,253.82000732421875,242.2100067138672,245.4199981689453,241.9407196044922,109602000,0.0,0.0,2024-10-09,2y,1wk
2022-12-12 00:00:00-05:00,247.4499969482422,263.9200134277344,243.50999450683594,244.69000244140625,241.22108459472656,229935300,0.0,0.0,2024-10-09,2y,1wk
2022-12-19 00:00:00-05:00,244.86000061035156,245.6199951171875,233.8699951171875,238.72999572753906,235.3455810546875,128396500,0.0,0.0,2024-10-09,2y,1wk
2022-12-26 00:00:00-05:00,238.6999969482422,241.9199981689453,234.1699981689453,239.82000732421875,236.4201202392578,75854900,0.0,0.0,2024-10-09,2y,1wk
2023-01-02 00:00:00-05:00,243.0800018310547,245.75,219.35000610351562,224.92999267578125,221.7412109375,159562600,0.0,0.0,2024-10-09,2y,1wk
2023-01-09 00:00:00-05:00,226.4499969482422,239.89999389648438,226.41000366210938,239.22999572753906,235.83848571777344,131675800,0.0,0.0,2024-10-09,2y,1wk
2023-01-16 00:00:00-05:00,237.97000122070312,242.3800048828125,230.67999267578125,240.22000122070312,236.81443786621094,123872800,0.0,0.0,2024-10-09,2y,1wk
2023-01-23 00:00:00-05:00,241.10000610351562,249.8300018310547,230.89999389648438,248.16000366210938,244.6418914794922,198648400,0.0,0.0,2024-10-09,2y,1wk
2023-01-30 00:00:00-05:00,244.50999450683594,264.69000244140625,242.1999969482422,258.3500061035156,254.6874237060547,152686100,0.0,0.0,2024-10-09,2y,1wk
2023-02-06 00:00:00-05:00,257.44000244140625,276.760009765625,254.77999877929688,263.1000061035156,259.3701171875,196239000,0.0,0.0,2024-10-09,2y,1wk
2023-02-13 00:00:00-05:00,267.6400146484375,274.9700012207031,256.0,258.05999755859375,254.40155029296875,170204900,0.68,0.0,2024-10-09,2y,1wk
2023-02-20 00:00:00-05:00,254.47999572753906,256.8399963378906,248.10000610351562,249.22000122070312,246.30223083496094,105098500,0.0,0.0,2024-10-09,2y,1wk
2023-02-27 00:00:00-05:00,252.4600067138672,255.6199951171875,245.61000061035156,255.2899932861328,252.3011474609375,126814600,0.0,0.0,2024-10-09,2y,1wk
2023-03-06 00:00:00-05:00,256.42999267578125,260.1199951171875,247.60000610351562,248.58999633789062,245.67959594726562,117910500,0.0,0.0,2024-10-09,2y,1wk
2023-03-13 00:00:00-04:00,247.39999389648438,283.3299865722656,245.72999572753906,279.42999267578125,276.1585693359375,237284200,0.0,0.0,2024-10-09,2y,1wk
2023-03-20 00:00:00-04:00,276.9800109863281,281.05999755859375,269.5199890136719,280.57000732421875,277.28521728515625,177681500,0.0,0.0,2024-10-09,2y,1wk
2023-03-27 00:00:00-04:00,280.5,289.2699890136719,272.04998779296875,288.29998779296875,284.9246826171875,131625200,0.0,0.0,2024-10-09,2y,1wk
2023-04-03 00:00:00-04:00,286.5199890136719,292.0799865722656,282.0299987792969,291.6000061035156,288.1860656738281,102542700,0.0,0.0,2024-10-09,2y,1wk
2023-04-10 00:00:00-04:00,289.2099914550781,289.8999938964844,281.6400146484375,286.1400146484375,282.78997802734375,122993600,0.0,0.0,2024-10-09,2y,1wk
2023-04-17 00:00:00-04:00,289.92999267578125,291.760009765625,283.05999755859375,285.760009765625,282.4144287109375,106069100,0.0,0.0,2024-10-09,2y,1wk
2023-04-24 00:00:00-04:00,282.0899963378906,308.92999267578125,275.3699951171875,307.260009765625,303.6627197265625,219891700,0.0,0.0,2024-10-09,2y,1wk
2023-05-01 00:00:00-04:00,306.9700012207031,311.9700012207031,303.3999938964844,310.6499938964844,307.01300048828125,120760400,0.0,0.0,2024-10-09,2y,1wk
2023-05-08 00:00:00-04:00,310.1300048828125,313.0,306.0899963378906,308.9700012207031,305.35272216796875,124175700,0.0,0.0,2024-10-09,2y,1wk
2023-05-15 00:00:00-04:00,309.1000061035156,319.0400085449219,307.5899963378906,318.3399963378906,314.6130065917969,122187300,0.68,0.0,2024-10-09,2y,1wk
2023-05-22 00:00:00-04:00,318.6000061035156,333.3999938964844,312.6099853515625,332.8900146484375,329.7118835449219,158230100,0.0,0.0,2024-10-09,2y,1wk
2023-05-29 00:00:00-04:00,335.2300109863281,337.5,324.7200012207031,335.3999938964844,332.1979064941406,128091600,0.0,0.0,2024-10-09,2y,1wk
