Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2022-09-20 00:00:00-04:00,15.819999694824219,15.951000213623047,15.229999542236328,15.34000015258789,15.34000015258789,12585600,0.0,0.0,2024-09-20,2y,5d
2022-09-30 00:00:00-04:00,14.050000190734863,14.4399995803833,13.869999885559082,13.970000267028809,13.970000267028809,12259300,0.0,0.0,2024-09-20,2y,5d
2022-10-05 00:00:00-04:00,14.961000442504883,15.170000076293945,14.510000228881836,14.989999771118164,14.989999771118164,11615300,0.0,0.0,2024-09-20,2y,5d
2022-10-10 00:00:00-04:00,13.229999542236328,13.260000228881836,12.289999961853027,12.479999542236328,12.479999542236328,20767800,0.0,0.0,2024-09-20,2y,5d
2022-10-20 00:00:00-04:00,12.710000038146973,13.100000381469727,12.359999656677246,12.600000381469727,12.600000381469727,17586500,0.0,0.0,2024-09-20,2y,5d
2022-10-25 00:00:00-04:00,12.899999618530273,14.170000076293945,12.899999618530273,13.920000076293945,13.920000076293945,22487600,0.0,0.0,2024-09-20,2y,5d
2022-11-04 00:00:00-04:00,14.039999961853027,14.34000015258789,13.300000190734863,13.890000343322754,13.890000343322754,19218400,0.0,0.0,2024-09-20,2y,5d
2022-11-09 00:00:00-05:00,12.489999771118164,12.529999732971191,10.890000343322754,11.210000038146973,11.210000038146973,52598500,0.0,0.0,2024-09-20,2y,5d
2022-11-14 00:00:00-05:00,12.880000114440918,12.960000038146973,12.10200023651123,12.210000038146973,12.210000038146973,18403800,0.0,0.0,2024-09-20,2y,5d
2022-11-29 00:00:00-05:00,10.050000190734863,10.069999694824219,9.699999809265137,9.760000228881836,9.760000228881836,19666600,0.0,0.0,2024-09-20,2y,5d
2022-12-09 00:00:00-05:00,8.529999732971191,8.6899995803833,8.140000343322754,8.680000305175781,8.680000305175781,43064600,0.0,0.0,2024-09-20,2y,5d
2022-12-14 00:00:00-05:00,7.960000038146973,7.96999979019165,7.590000152587891,7.679999828338623,7.679999828338623,29881900,0.0,0.0,2024-09-20,2y,5d
2022-12-19 00:00:00-05:00,7.349999904632568,7.369999885559082,7.050000190734863,7.230000019073486,7.230000019073486,22954100,0.0,0.0,2024-09-20,2y,5d
2022-12-29 00:00:00-05:00,6.599999904632568,6.900000095367432,6.480000019073486,6.699999809265137,6.699999809265137,26601600,0.0,0.0,2024-09-20,2y,5d
2023-01-03 00:00:00-05:00,6.96999979019165,7.070000171661377,6.139999866485596,6.170000076293945,6.170000076293945,31442200,0.0,0.0,2024-09-20,2y,5d
2023-01-13 00:00:00-05:00,7.952000141143799,8.180000305175781,7.75,8.149999618530273,8.149999618530273,29230400,0.0,0.0,2024-09-20,2y,5d
2023-01-18 00:00:00-05:00,8.1899995803833,8.34000015258789,7.860000133514404,8.15999984741211,8.15999984741211,24861700,0.0,0.0,2024-09-20,2y,5d
2023-01-23 00:00:00-05:00,8.0,8.895000457763672,7.985000133514404,8.819999694824219,8.819999694824219,37913500,0.0,0.0,2024-09-20,2y,5d
2023-02-02 00:00:00-05:00,12.199999809265137,13.039999961853027,11.859999656677246,12.069999694824219,12.069999694824219,71458700,0.0,0.0,2024-09-20,2y,5d
2023-02-07 00:00:00-05:00,11.8100004196167,11.880000114440918,11.109999656677246,11.569999694824219,11.569999694824219,29247200,0.0,0.0,2024-09-20,2y,5d
2023-02-17 00:00:00-05:00,10.585000038146973,10.949999809265137,10.350000381469727,10.930000305175781,10.930000305175781,15798400,0.0,0.0,2024-09-20,2y,5d
2023-02-22 00:00:00-05:00,10.039999961853027,10.220000267028809,9.821999549865723,9.979999542236328,9.979999542236328,26981500,0.0,0.0,2024-09-20,2y,5d
2023-02-27 00:00:00-05:00,8.5,8.850000381469727,8.414999961853027,8.760000228881836,8.760000228881836,17714700,0.0,0.0,2024-09-20,2y,5d
2023-03-09 00:00:00-05:00,8.25,8.338000297546387,7.96999979019165,8.0,8.0,19967900,0.0,0.0,2024-09-20,2y,5d
2023-03-14 00:00:00-04:00,7.920000076293945,8.029999732971191,7.489999771118164,7.539999961853027,7.539999961853027,18241300,0.0,0.0,2024-09-20,2y,5d
2023-03-24 00:00:00-04:00,8.020000457763672,8.3100004196167,7.985000133514404,8.1899995803833,8.1899995803833,8224700,0.0,0.0,2024-09-20,2y,5d
2023-03-29 00:00:00-04:00,7.650000095367432,7.730000019073486,7.170000076293945,7.699999809265137,7.699999809265137,30158000,0.0,0.0,2024-09-20,2y,5d
2023-04-03 00:00:00-04:00,7.949999809265137,8.057999610900879,7.644999980926514,7.900000095367432,7.900000095367432,12010100,0.0,0.0,2024-09-20,2y,5d
2023-04-13 00:00:00-04:00,8.170000076293945,8.380000114440918,8.15999984741211,8.25,8.25,10570600,0.0,0.0,2024-09-20,2y,5d
2023-04-18 00:00:00-04:00,8.020000457763672,8.079999923706055,7.75,7.829999923706055,7.829999923706055,10167400,0.0,0.0,2024-09-20,2y,5d
2023-04-28 00:00:00-04:00,7.949999809265137,8.069999694824219,7.749000072479248,7.940000057220459,7.940000057220459,15816400,0.0,0.0,2024-09-20,2y,5d
2023-05-03 00:00:00-04:00,7.269999980926514,7.650000095367432,7.204999923706055,7.409999847412109,7.409999847412109,12392100,0.0,0.0,2024-09-20,2y,5d
2023-05-08 00:00:00-04:00,7.75,7.800000190734863,7.260000228881836,7.710000038146973,7.710000038146973,29869400,0.0,0.0,2024-09-20,2y,5d
2023-05-18 00:00:00-04:00,7.170000076293945,7.289999961853027,7.110000133514404,7.289999961853027,7.289999961853027,10090300,0.0,0.0,2024-09-20,2y,5d
2023-05-23 00:00:00-04:00,7.520999908447266,7.940000057220459,7.5,7.550000190734863,7.550000190734863,14970200,0.0,0.0,2024-09-20,2y,5d
2023-06-02 00:00:00-04:00,6.550000190734863,6.610000133514404,6.389999866485596,6.599999904632568,6.599999904632568,52308100,0.0,0.0,2024-09-20,2y,5d
2023-06-07 00:00:00-04:00,6.900000095367432,6.925000190734863,6.400000095367432,6.400000095367432,6.400000095367432,46769200,0.0,0.0,2024-09-20,2y,5d
2023-06-12 00:00:00-04:00,6.309999942779541,6.519999980926514,6.230000019073486,6.269999980926514,6.269999980926514,38486000,0.0,0.0,2024-09-20,2y,5d
2023-06-22 00:00:00-04:00,6.070000171661377,6.079999923706055,5.71999979019165,5.730000019073486,5.730000019073486,47898100,0.0,0.0,2024-09-20,2y,5d
2023-06-27 00:00:00-04:00,5.789999961853027,6.150000095367432,5.559999942779541,6.099999904632568,6.099999904632568,74181400,0.0,0.0,2024-09-20,2y,5d
2023-07-07 00:00:00-04:00,7.099999904632568,7.730000019073486,7.079999923706055,7.449999809265137,7.449999809265137,75751800,0.0,0.0,2024-09-20,2y,5d
2023-07-12 00:00:00-04:00,7.739999771118164,7.889999866485596,7.079999923706055,7.159999847412109,7.159999847412109,122623200,0.0,0.0,2024-09-20,2y,5d
2023-07-17 00:00:00-04:00,6.769999980926514,7.110000133514404,6.599999904632568,7.03000020980835,7.03000020980835,42128700,0.0,0.0,2024-09-20,2y,5d
2023-07-27 00:00:00-04:00,7.25,7.449999809265137,6.869999885559082,6.889999866485596,6.889999866485596,42823600,0.0,0.0,2024-09-20,2y,5d
2023-08-01 00:00:00-04:00,7.465000152587891,7.465000152587891,7.159999847412109,7.269999980926514,7.269999980926514,37747900,0.0,0.0,2024-09-20,2y,5d
2023-08-11 00:00:00-04:00,6.590000152587891,6.7170000076293945,6.489999771118164,6.639999866485596,6.639999866485596,26585000,0.0,0.0,2024-09-20,2y,5d
2023-08-16 00:00:00-04:00,6.360000133514404,6.449999809265137,6.25,6.340000152587891,6.340000152587891,26138800,0.0,0.0,2024-09-20,2y,5d
2023-08-21 00:00:00-04:00,6.21999979019165,6.360000133514404,6.159999847412109,6.260000228881836,6.260000228881836,19787900,0.0,0.0,2024-09-20,2y,5d
2023-08-31 00:00:00-04:00,6.409999847412109,6.420000076293945,6.150000095367432,6.28000020980835,6.28000020980835,26180300,0.0,0.0,2024-09-20,2y,5d
2023-09-05 00:00:00-04:00,6.289999961853027,6.449999809265137,6.21999979019165,6.300000190734863,6.300000190734863,23261100,0.0,0.0,2024-09-20,2y,5d
2023-09-15 00:00:00-04:00,6.03000020980835,6.119999885559082,5.860000133514404,5.920000076293945,5.920000076293945,31294200,0.0,0.0,2024-09-20,2y,5d
2023-09-20 00:00:00-04:00,5.570000171661377,5.625,5.449999809265137,5.449999809265137,5.449999809265137,18801000,0.0,0.0,2024-09-20,2y,5d
2023-09-25 00:00:00-04:00,5.139999866485596,5.190000057220459,4.96999979019165,5.130000114440918,5.130000114440918,24208500,0.0,0.0,2024-09-20,2y,5d
2023-10-05 00:00:00-04:00,5.480000019073486,5.5,5.03000020980835,5.159999847412109,5.159999847412109,43996900,0.0,0.0,2024-09-20,2y,5d
2023-10-10 00:00:00-04:00,5.010000228881836,5.460000038146973,4.989999771118164,5.440000057220459,5.440000057220459,38610900,0.0,0.0,2024-09-20,2y,5d
2023-10-20 00:00:00-04:00,4.329999923706055,4.440000057220459,4.25,4.28000020980835,4.28000020980835,26951100,0.0,0.0,2024-09-20,2y,5d
2023-10-25 00:00:00-04:00,4.210000038146973,4.329999923706055,4.170000076293945,4.170000076293945,4.170000076293945,21024000,0.0,0.0,2024-09-20,2y,5d
2023-10-30 00:00:00-04:00,4.099999904632568,4.139999866485596,4.0,4.070000171661377,4.070000171661377,18462900,0.0,0.0,2024-09-20,2y,5d
2023-11-09 00:00:00-05:00,3.9700000286102295,4.039999961853027,3.7200000286102295,3.755000114440918,3.755000114440918,37328600,0.0,0.0,2024-09-20,2y,5d
2023-11-14 00:00:00-05:00,4.119999885559082,4.329999923706055,4.110000133514404,4.170000076293945,4.170000076293945,29570800,0.0,0.0,2024-09-20,2y,5d
2023-11-24 00:00:00-05:00,4.21999979019165,4.329999923706055,4.179999828338623,4.239999771118164,4.239999771118164,12912600,0.0,0.0,2024-09-20,2y,5d
