Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-07-08 00:00:00-04:00,63.060001373291016,64.11000061035156,62.290000915527344,63.70000076293945,63.26626968383789,44221000,0.0,0.0,2024-10-09,3mo,1wk
2024-07-15 00:00:00-04:00,63.790000915527344,65.80999755859375,63.349998474121094,65.29000091552734,64.84544372558594,54644700,0.0,0.0,2024-10-09,3mo,1wk
2024-07-22 00:00:00-04:00,65.25,67.11000061035156,64.31999969482422,67.05000305175781,66.59346008300781,66707800,0.0,0.0,2024-10-09,3mo,1wk
2024-07-29 00:00:00-04:00,66.87999725341797,69.66999816894531,66.36000061035156,69.33000183105469,68.85794067382812,79985700,0.0,0.0,2024-10-09,3mo,1wk
2024-08-05 00:00:00-04:00,68.98999786376953,69.55000305175781,67.7300033569336,68.68000030517578,68.21236419677734,79140000,0.0,0.0,2024-10-09,3mo,1wk
2024-08-12 00:00:00-04:00,68.44999694824219,69.30000305175781,67.83000183105469,69.18000030517578,68.7089614868164,59154200,0.0,0.0,2024-10-09,3mo,1wk
2024-08-19 00:00:00-04:00,69.3499984741211,70.12999725341797,68.7699966430664,69.79000091552734,69.31480407714844,54937600,0.0,0.0,2024-10-09,3mo,1wk
2024-08-26 00:00:00-04:00,69.83000183105469,72.56999969482422,69.7300033569336,72.47000122070312,71.97655487060547,78999100,0.0,0.0,2024-10-09,3mo,1wk
2024-09-02 00:00:00-04:00,72.44000244140625,73.52999877929688,70.88999938964844,71.13999938964844,70.65560913085938,74248400,0.0,0.0,2024-10-09,3mo,1wk
2024-09-09 00:00:00-04:00,71.2300033569336,72.41999816894531,70.4800033569336,71.41000366210938,70.92377471923828,58049700,0.485,0.0,2024-10-09,3mo,1wk
2024-09-16 00:00:00-04:00,71.7699966430664,72.37999725341797,70.37999725341797,71.63999938964844,71.63999938964844,96694700,0.0,0.0,2024-10-09,3mo,1wk
2024-09-23 00:00:00-04:00,71.55000305175781,72.19999694824219,70.5999984741211,71.79000091552734,71.79000091552734,59263600,0.0,0.0,2024-10-09,3mo,1wk
2024-09-30 00:00:00-04:00,72.0,72.75,69.72000122070312,70.16999816894531,70.16999816894531,64524900,0.0,0.0,2024-10-09,3mo,1wk
2024-10-07 00:00:00-04:00,70.05000305175781,70.0999984741211,68.86000061035156,69.56999969482422,69.56999969482422,43112386,0.0,0.0,2024-10-09,3mo,1wk
