Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-07-08 00:00:00-04:00,690.0,695.27001953125,643.7100219726562,647.5999755859375,647.5999755859375,13709800,0.0,0.0,2024-10-09,3mo,1wk
2024-07-15 00:00:00-04:00,647.5,678.969970703125,629.1199951171875,633.3400268554688,633.3400268554688,27303200,0.0,0.0,2024-10-09,3mo,1wk
2024-07-22 00:00:00-04:00,639.5,656.2899780273438,621.7000122070312,631.3699951171875,631.3699951171875,20246100,0.0,0.0,2024-10-09,3mo,1wk
2024-07-29 00:00:00-04:00,634.6099853515625,646.7100219726562,608.3499755859375,613.6400146484375,613.6400146484375,16275600,0.0,0.0,2024-10-09,3mo,1wk
2024-08-05 00:00:00-04:00,587.0399780273438,636.6199951171875,587.0399780273438,633.9400024414062,633.9400024414062,16815400,0.0,0.0,2024-10-09,3mo,1wk
2024-08-12 00:00:00-04:00,631.0,680.22998046875,627.0700073242188,674.0700073242188,674.0700073242188,15706800,0.0,0.0,2024-10-09,3mo,1wk
2024-08-19 00:00:00-04:00,674.0700073242188,711.3300170898438,672.9099731445312,686.72998046875,686.72998046875,15148500,0.0,0.0,2024-10-09,3mo,1wk
2024-08-26 00:00:00-04:00,687.260009765625,707.8900146484375,677.0999755859375,701.3499755859375,701.3499755859375,12403400,0.0,0.0,2024-10-09,3mo,1wk
2024-09-02 00:00:00-04:00,700.0999755859375,703.8599853515625,662.3400268554688,665.77001953125,665.77001953125,9747700,0.0,0.0,2024-10-09,3mo,1wk
2024-09-09 00:00:00-04:00,674.0,699.6400146484375,660.7999877929688,697.0599975585938,697.0599975585938,12019100,0.0,0.0,2024-10-09,3mo,1wk
2024-09-16 00:00:00-04:00,700.0,715.6599731445312,688.0,701.030029296875,701.030029296875,15353300,0.0,0.0,2024-10-09,3mo,1wk
2024-09-23 00:00:00-04:00,702.3900146484375,725.260009765625,699.1599731445312,707.3499755859375,707.3499755859375,14278400,0.0,0.0,2024-10-09,3mo,1wk
2024-09-30 00:00:00-04:00,707.0,721.010009765625,698.5900268554688,719.7000122070312,719.7000122070312,10767000,0.0,0.0,2024-10-09,3mo,1wk
2024-10-07 00:00:00-04:00,714.760009765625,728.5900268554688,696.4299926757812,727.4299926757812,727.4299926757812,10502997,0.0,0.0,2024-10-09,3mo,1wk
