Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2019-10-07 00:00:00-04:00,179.16000366210938,186.49000549316406,177.94000244140625,184.19000244140625,183.63710021972656,31092400,0.0,0.0,2024-10-09,5y,1wk
2019-10-14 00:00:00-04:00,184.1999969482422,191.49000549316406,182.57000732421875,185.85000610351562,185.29209899902344,59039200,0.0,0.0,2024-10-09,5y,1wk
2019-10-21 00:00:00-04:00,187.0399932861328,190.64999389648438,181.5,187.88999938964844,187.3259735107422,59435300,0.0,0.0,2024-10-09,5y,1wk
2019-10-28 00:00:00-04:00,187.1999969482422,198.08999633789062,185.0800018310547,193.6199951171875,193.0387725830078,119965700,0.0,0.0,2024-10-09,5y,1wk
2019-11-04 00:00:00-05:00,194.5500030517578,197.3699951171875,189.47000122070312,190.83999633789062,190.26712036132812,61520100,0.0,0.0,2024-10-09,5y,1wk
2019-11-11 00:00:00-05:00,189.92999267578125,195.6999969482422,188.5399932861328,195.10000610351562,194.5143585205078,57672200,0.0,0.0,2024-10-09,5y,1wk
2019-11-18 00:00:00-05:00,194.55999755859375,200.0,193.0500030517578,198.82000732421875,198.22317504882812,69670200,0.0,0.0,2024-10-09,5y,1wk
2019-11-25 00:00:00-05:00,199.52000427246094,203.8000030517578,198.0399932861328,201.63999938964844,201.0347137451172,47729600,0.0,0.0,2024-10-09,5y,1wk
2019-12-02 00:00:00-05:00,202.1300048828125,202.17999267578125,195.0800018310547,201.0500030517578,200.4464874267578,53566000,0.0,0.0,2024-10-09,5y,1wk
2019-12-09 00:00:00-05:00,200.64999389648438,203.66000366210938,193.1699981689453,194.11000061035156,193.52731323242188,72000100,0.0,0.0,2024-10-09,5y,1wk
2019-12-16 00:00:00-05:00,195.27000427246094,207.7100067138672,194.80999755859375,206.3000030517578,205.68072509765625,92183100,0.0,0.0,2024-10-09,5y,1wk
2019-12-23 00:00:00-05:00,206.6999969482422,208.92999267578125,205.0,208.10000610351562,207.475341796875,39030100,0.0,0.0,2024-10-09,5y,1wk
2019-12-30 00:00:00-05:00,207.86000061035156,210.39999389648438,203.60000610351562,208.6699981689453,208.04360961914062,42743300,0.0,0.0,2024-10-09,5y,1wk
2020-01-06 00:00:00-05:00,206.6999969482422,219.8800048828125,206.52000427246094,218.05999755859375,217.40541076660156,70208500,0.0,0.0,2024-10-09,5y,1wk
2020-01-13 00:00:00-05:00,219.60000610351562,222.6300048828125,218.6300048828125,222.13999938964844,221.47315979003906,63710000,0.0,0.0,2024-10-09,5y,1wk
2020-01-20 00:00:00-05:00,222.16000366210938,222.75,216.11000061035156,217.94000244140625,217.28578186035156,49589400,0.0,0.0,2024-10-09,5y,1wk
2020-01-27 00:00:00-05:00,213.10000610351562,224.1999969482422,201.05999755859375,201.91000366210938,201.30389404296875,140541200,0.0,0.0,2024-10-09,5y,1wk
2020-02-03 00:00:00-05:00,203.44000244140625,212.82000732421875,202.5,212.3300018310547,211.692626953125,70472700,0.0,0.0,2024-10-09,5y,1wk
2020-02-10 00:00:00-05:00,211.52000427246094,214.92999267578125,206.50999450683594,214.17999267578125,213.5370635986328,76839200,0.0,0.0,2024-10-09,5y,1wk
2020-02-17 00:00:00-05:00,213.5500030517578,218.77000427246094,208.8300018310547,210.17999267578125,209.54905700683594,54945800,0.0,0.0,2024-10-09,5y,1wk
2020-02-24 00:00:00-05:00,201.8000030517578,203.64999389648438,181.82000732421875,192.47000122070312,191.89224243164062,115289600,0.0,0.0,2024-10-09,5y,1wk
2020-03-02 00:00:00-05:00,194.02999877929688,197.24000549316406,176.25999450683594,181.08999633789062,180.54638671875,119888600,0.0,0.0,2024-10-09,5y,1wk
2020-03-09 00:00:00-04:00,169.60000610351562,178.2899932861328,154.33999633789062,170.27999877929688,169.7688446044922,153135600,0.0,0.0,2024-10-09,5y,1wk
2020-03-16 00:00:00-04:00,152.32000732421875,159.92999267578125,137.10000610351562,149.72999572753906,149.28053283691406,183359800,0.0,0.0,2024-10-09,5y,1wk
2020-03-23 00:00:00-04:00,149.66000366210938,164.0,142.25,156.7899932861328,156.3193359375,146892200,0.0,0.0,2024-10-09,5y,1wk
2020-03-30 00:00:00-04:00,159.17999267578125,170.92999267578125,150.8300018310547,154.17999267578125,153.71717834472656,112568700,0.0,0.0,2024-10-09,5y,1wk
2020-04-06 00:00:00-04:00,160.14999389648438,177.0800018310547,158.50999450683594,175.19000244140625,174.6641082763672,105064000,0.0,0.0,2024-10-09,5y,1wk
2020-04-13 00:00:00-04:00,173.6699981689453,181.22999572753906,169.4499969482422,179.24000549316406,178.7019500732422,102358200,0.0,0.0,2024-10-09,5y,1wk
2020-04-20 00:00:00-04:00,177.41000366210938,190.41000366210938,168.33999633789062,190.07000732421875,189.49945068359375,124421800,0.0,0.0,2024-10-09,5y,1wk
2020-04-27 00:00:00-04:00,192.66000366210938,209.69000244140625,182.55999755859375,202.27000427246094,201.66282653808594,173529000,0.0,0.0,2024-10-09,5y,1wk
2020-05-04 00:00:00-04:00,200.1999969482422,213.2100067138672,198.75999450683594,212.35000610351562,211.7125701904297,89836900,0.0,0.0,2024-10-09,5y,1wk
2020-05-11 00:00:00-04:00,210.88999938964844,215.27999877929688,200.69000244140625,210.8800048828125,210.24697875976562,84863200,0.0,0.0,2024-10-09,5y,1wk
2020-05-18 00:00:00-04:00,212.14999389648438,237.1999969482422,210.94000244140625,234.91000366210938,234.204833984375,183866200,0.0,0.0,2024-10-09,5y,1wk
2020-05-25 00:00:00-04:00,239.77000427246094,240.89999389648438,221.1300048828125,225.08999633789062,224.414306640625,120494600,0.0,0.0,2024-10-09,5y,1wk
2020-06-01 00:00:00-04:00,224.58999633789062,233.0,223.5,230.77000427246094,230.07725524902344,88315000,0.0,0.0,2024-10-09,5y,1wk
2020-06-08 00:00:00-04:00,229.02999877929688,241.2100067138672,223.5500030517578,228.5800018310547,227.89382934570312,112449700,0.0,0.0,2024-10-09,5y,1wk
2020-06-15 00:00:00-04:00,225.08999633789062,240.8300018310547,224.8000030517578,238.7899932861328,238.0731964111328,96018900,0.0,0.0,2024-10-09,5y,1wk
2020-06-22 00:00:00-04:00,238.55999755859375,245.19000244140625,215.39999389648438,216.0800018310547,215.43136596679688,158818800,0.0,0.0,2024-10-09,5y,1wk
2020-06-29 00:00:00-04:00,209.75,240.0,207.11000061035156,233.4199981689453,232.7193145751953,166474700,0.0,0.0,2024-10-09,5y,1wk
2020-07-06 00:00:00-04:00,233.75999450683594,247.64999389648438,232.27000427246094,245.07000732421875,244.33433532714844,129042900,0.0,0.0,2024-10-09,5y,1wk
2020-07-13 00:00:00-04:00,247.00999450683594,250.14999389648438,232.02999877929688,242.02999877929688,241.303466796875,104219700,0.0,0.0,2024-10-09,5y,1wk
2020-07-20 00:00:00-04:00,240.05999755859375,246.91000366210938,226.89999389648438,230.7100067138672,230.0174560546875,95761900,0.0,0.0,2024-10-09,5y,1wk
2020-07-27 00:00:00-04:00,231.4600067138672,255.85000610351562,229.0,253.6699981689453,252.90850830078125,114541900,0.0,0.0,2024-10-09,5y,1wk
2020-08-03 00:00:00-04:00,252.64999389648438,278.8900146484375,247.42999267578125,268.44000244140625,267.6341857910156,171366500,0.0,0.0,2024-10-09,5y,1wk
2020-08-10 00:00:00-04:00,268.0400085449219,273.8599853515625,255.1300048828125,261.239990234375,260.4557800292969,112069500,0.0,0.0,2024-10-09,5y,1wk
2020-08-17 00:00:00-04:00,262.5,270.489990234375,259.260009765625,267.010009765625,266.20849609375,91171300,0.0,0.0,2024-10-09,5y,1wk
2020-08-24 00:00:00-04:00,271.07000732421875,304.6700134277344,268.7699890136719,293.6600036621094,292.7784729003906,182286700,0.0,0.0,2024-10-09,5y,1wk
2020-08-31 00:00:00-04:00,293.95001220703125,303.6000061035156,271.1400146484375,282.7300109863281,281.88128662109375,121610200,0.0,0.0,2024-10-09,5y,1wk
2020-09-07 00:00:00-04:00,271.2799987792969,279.29998779296875,262.6400146484375,266.6099853515625,265.8096923828125,91511400,0.0,0.0,2024-10-09,5y,1wk
2020-09-14 00:00:00-04:00,270.95001220703125,276.6400146484375,250.0500030517578,252.52999877929688,251.77194213867188,131167900,0.0,0.0,2024-10-09,5y,1wk
2020-09-21 00:00:00-04:00,247.5399932861328,257.989990234375,244.1300048828125,254.82000732421875,254.05508422851562,113001900,0.0,0.0,2024-10-09,5y,1wk
2020-09-28 00:00:00-04:00,259.3999938964844,268.3299865722656,254.82000732421875,259.94000244140625,259.1596984863281,95546400,0.0,0.0,2024-10-09,5y,1wk
2020-10-05 00:00:00-04:00,262.20001220703125,265.69000244140625,254.82000732421875,264.45001220703125,263.65618896484375,85073200,0.0,0.0,2024-10-09,5y,1wk
2020-10-12 00:00:00-04:00,270.20001220703125,280.17999267578125,263.6700134277344,265.92999267578125,265.1317138671875,96699200,0.0,0.0,2024-10-09,5y,1wk
2020-10-19 00:00:00-04:00,265.5299987792969,285.239990234375,259.8800048828125,284.7900085449219,283.93511962890625,95604000,0.0,0.0,2024-10-09,5y,1wk
2020-10-26 00:00:00-04:00,283.1600036621094,285.2300109863281,259.1000061035156,263.1099853515625,262.3201599121094,140347800,0.0,0.0,2024-10-09,5y,1wk
2020-11-02 00:00:00-05:00,264.6000061035156,297.3800048828125,257.3399963378906,293.4100036621094,292.52923583984375,118206600,0.0,0.0,2024-10-09,5y,1wk
2020-11-09 00:00:00-05:00,289.8699951171875,292.5799865722656,264.0,276.95001220703125,276.11865234375,92433100,0.0,0.0,2024-10-09,5y,1wk
2020-11-16 00:00:00-05:00,275.04998779296875,279.4100036621094,269.19000244140625,269.70001220703125,268.890380859375,71242000,0.0,0.0,2024-10-09,5y,1wk
2020-11-23 00:00:00-05:00,270.8900146484375,280.17999267578125,264.5299987792969,277.80999755859375,276.97607421875,58196600,0.0,0.0,2024-10-09,5y,1wk
2020-11-30 00:00:00-05:00,276.0299987792969,291.7799987792969,271.010009765625,279.70001220703125,278.86041259765625,78595800,0.0,0.0,2024-10-09,5y,1wk
2020-12-07 00:00:00-05:00,279.19000244140625,288.489990234375,270.25,273.54998779296875,272.72882080078125,83401600,0.0,0.0,2024-10-09,5y,1wk
