Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-03-20 00:00:00-04:00,619.9500122070312,629.510009765625,618.3400268554688,627.6900024414062,627.6900024414062,2639500,0.0,0.0,2024-09-20,6mo,5d
2024-03-25 00:00:00-04:00,627.9000244140625,630.4600219726562,623.1599731445312,627.4600219726562,627.4600219726562,1803300,0.0,0.0,2024-09-20,6mo,5d
2024-04-04 00:00:00-04:00,633.2100219726562,638.0,616.5800170898438,617.1400146484375,617.1400146484375,3064300,0.0,0.0,2024-09-20,6mo,5d
2024-04-09 00:00:00-04:00,631.989990234375,631.989990234375,615.6300048828125,618.2000122070312,618.2000122070312,2146600,0.0,0.0,2024-09-20,6mo,5d
2024-04-19 00:00:00-04:00,567.8800048828125,579.0,552.1599731445312,555.0399780273438,555.0399780273438,16425000,0.0,0.0,2024-09-20,6mo,5d
2024-04-24 00:00:00-04:00,574.3099975585938,576.9099731445312,551.2999877929688,555.1199951171875,555.1199951171875,5355300,0.0,0.0,2024-09-20,6mo,5d
2024-04-29 00:00:00-04:00,559.1799926757812,559.6400146484375,554.239990234375,559.489990234375,559.489990234375,2508900,0.0,0.0,2024-09-20,6mo,5d
2024-05-09 00:00:00-04:00,614.4000244140625,615.719970703125,605.75,612.0900268554688,612.0900268554688,2065400,0.0,0.0,2024-09-20,6mo,5d
2024-05-14 00:00:00-04:00,615.1699829101562,621.47998046875,608.4000244140625,613.6599731445312,613.6599731445312,2792400,0.0,0.0,2024-09-20,6mo,5d
2024-05-24 00:00:00-04:00,639.4000244140625,652.0,637.5999755859375,646.75,646.75,2613300,0.0,0.0,2024-09-20,6mo,5d
2024-05-29 00:00:00-04:00,644.1300048828125,664.25,643.8900146484375,654.6199951171875,654.6199951171875,3695900,0.0,0.0,2024-09-20,6mo,5d
2024-06-03 00:00:00-04:00,645.219970703125,646.780029296875,627.27001953125,633.7899780273438,633.7899780273438,2323500,0.0,0.0,2024-09-20,6mo,5d
2024-06-13 00:00:00-04:00,644.0,655.25,642.3499755859375,653.260009765625,653.260009765625,1863600,0.0,0.0,2024-09-20,6mo,5d
2024-06-18 00:00:00-04:00,675.6300048828125,687.0599975585938,674.6400146484375,685.6699829101562,685.6699829101562,2943800,0.0,0.0,2024-09-20,6mo,5d
2024-06-28 00:00:00-04:00,679.0,687.0,673.0800170898438,674.8800048828125,674.8800048828125,3412400,0.0,0.0,2024-09-20,6mo,5d
2024-07-03 00:00:00-04:00,677.47998046875,683.75,675.5,682.510009765625,682.510009765625,1403500,0.0,0.0,2024-09-20,6mo,5d
2024-07-08 00:00:00-04:00,687.0,688.8599853515625,681.489990234375,685.739990234375,685.739990234375,1930800,0.0,0.0,2024-09-20,6mo,5d
2024-07-18 00:00:00-04:00,656.5999755859375,657.0399780273438,639.1699829101562,643.0399780273438,643.0399780273438,7575800,0.0,0.0,2024-09-20,6mo,5d
2024-07-23 00:00:00-04:00,647.5,649.9099731445312,641.0,642.760009765625,642.760009765625,2463600,0.0,0.0,2024-09-20,6mo,5d
2024-08-02 00:00:00-04:00,620.97998046875,625.27001953125,608.3499755859375,613.6400146484375,613.6400146484375,3523000,0.0,0.0,2024-09-20,6mo,5d
2024-08-07 00:00:00-04:00,616.0700073242188,632.0,610.6400146484375,611.47998046875,611.47998046875,3187800,0.0,0.0,2024-09-20,6mo,5d
2024-08-12 00:00:00-04:00,631.0,639.0,627.0700073242188,633.1400146484375,633.1400146484375,2331700,0.0,0.0,2024-09-20,6mo,5d
2024-08-22 00:00:00-04:00,691.0,701.5,686.239990234375,688.9600219726562,688.9600219726562,2729400,0.0,0.0,2024-09-20,6mo,5d
2024-08-27 00:00:00-04:00,688.530029296875,707.8900146484375,686.9199829101562,695.719970703125,695.719970703125,3164900,0.0,0.0,2024-09-20,6mo,5d
2024-09-06 00:00:00-04:00,681.8599853515625,683.1500244140625,662.3400268554688,665.77001953125,665.77001953125,2991300,0.0,0.0,2024-09-20,6mo,5d
2024-09-11 00:00:00-04:00,677.4600219726562,682.969970703125,660.7999877929688,681.469970703125,681.469970703125,2391900,0.0,0.0,2024-09-20,6mo,5d
2024-09-16 00:00:00-04:00,700.0,706.6732177734375,688.6300048828125,701.7999877929688,701.7999877929688,3210282,0.0,0.0,2024-09-20,6mo,5d
