Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
1999-01-18 00:00:00-05:00,0.04374999925494194,0.04882799834012985,0.038802001625299454,0.041016001254320145,0.0376177653670311,2714688000,0.0,0.0,2024-10-09,max,1wk
1999-01-25 00:00:00-05:00,0.04427099972963333,0.046744998544454575,0.0395830012857914,0.0395830012857914,0.036303482949733734,1569600000,0.0,0.0,2024-10-09,max,1wk
1999-02-01 00:00:00-05:00,0.0395830012857914,0.04166699945926666,0.03606799989938736,0.0412760004401207,0.03785620629787445,812688000,0.0,0.0,2024-10-09,max,1wk
1999-02-08 00:00:00-05:00,0.04153599962592125,0.04374999925494194,0.03723999857902527,0.04349000006914139,0.03988677263259888,631248000,0.0,0.0,2024-10-09,max,1wk
1999-02-15 00:00:00-05:00,0.04427099972963333,0.04609400033950806,0.039322998374700546,0.04349000006914139,0.03988677263259888,424800000,0.0,0.0,2024-10-09,max,1wk
1999-02-22 00:00:00-05:00,0.04427099972963333,0.054687999188899994,0.041405998170375824,0.04570300132036209,0.04191642627120018,1277856000,0.0,0.0,2024-10-09,max,1wk
1999-03-01 00:00:00-05:00,0.046875,0.04791700094938278,0.04114599898457527,0.043880000710487366,0.04024447128176689,344928000,0.0,0.0,2024-10-09,max,1wk
1999-03-08 00:00:00-05:00,0.04270799830555916,0.04661500081419945,0.04166699945926666,0.042447999119758606,0.038931116461753845,599472000,0.0,0.0,2024-10-09,max,1wk
1999-03-15 00:00:00-05:00,0.04349000006914139,0.045051999390125275,0.04205700010061264,0.04374999925494194,0.04012523591518402,390960000,0.0,0.0,2024-10-09,max,1wk
1999-03-22 00:00:00-05:00,0.04466100037097931,0.04479200020432472,0.03802099823951721,0.04362000152468681,0.04000600799918175,390096000,0.0,0.0,2024-10-09,max,1wk
1999-03-29 00:00:00-05:00,0.04492200165987015,0.04596399888396263,0.040495000779628754,0.04270799830555916,0.039169568568468094,319488000,0.0,0.0,2024-10-09,max,1wk
1999-04-05 00:00:00-04:00,0.042187999933958054,0.04583299905061722,0.0395830012857914,0.04374999925494194,0.04012523591518402,436368000,0.0,0.0,2024-10-09,max,1wk
1999-04-12 00:00:00-04:00,0.04322899878025055,0.04322899878025055,0.039062999188899994,0.041405998170375824,0.037975434213876724,192528000,0.0,0.0,2024-10-09,max,1wk
1999-04-19 00:00:00-04:00,0.041926998645067215,0.041926998645067215,0.035677000880241394,0.035937998443841934,0.03296047821640968,489696000,0.0,0.0,2024-10-09,max,1wk
1999-04-26 00:00:00-04:00,0.035937998443841934,0.0395830012857914,0.03333299979567528,0.03802099823951721,0.03487089276313782,618000000,0.0,0.0,2024-10-09,max,1wk
1999-05-03 00:00:00-04:00,0.03841099888086319,0.03841099888086319,0.03437500074505806,0.03645800054073334,0.03343740105628967,335088000,0.0,0.0,2024-10-09,max,1wk
1999-05-10 00:00:00-04:00,0.036198001354932785,0.04062499850988388,0.036198001354932785,0.03750000149011612,0.0343930758535862,458304000,0.0,0.0,2024-10-09,max,1wk
1999-05-17 00:00:00-04:00,0.03697900101542473,0.044530998915433884,0.03437500074505806,0.03541700169444084,0.03248266130685806,1120704000,0.0,0.0,2024-10-09,max,1wk
1999-05-24 00:00:00-04:00,0.035677000880241394,0.03723999857902527,0.034765999764204025,0.03554699942469597,0.03260187432169914,568416000,0.0,0.0,2024-10-09,max,1wk
1999-05-31 00:00:00-04:00,0.03541700169444084,0.035677000880241394,0.03437500074505806,0.03554699942469597,0.03260187432169914,349152000,0.0,0.0,2024-10-09,max,1wk
1999-06-07 00:00:00-04:00,0.03574199974536896,0.03828100115060806,0.03554699942469597,0.0368489995598793,0.03379599750041962,470736000,0.0,0.0,2024-10-09,max,1wk
1999-06-14 00:00:00-04:00,0.036913998425006866,0.03750000149011612,0.03411500155925751,0.03411500155925751,0.031288519501686096,399024000,0.0,0.0,2024-10-09,max,1wk
1999-06-21 00:00:00-04:00,0.03515600040555,0.036198001354932785,0.03421200066804886,0.035677000880241394,0.03272109851241112,676176000,0.0,0.0,2024-10-09,max,1wk
1999-06-28 00:00:00-04:00,0.0368489995598793,0.040495000779628754,0.03541700169444084,0.040495000779628754,0.03713992238044739,784944000,0.0,0.0,2024-10-09,max,1wk
1999-07-05 00:00:00-04:00,0.04088500142097473,0.044530998915433884,0.038802001625299454,0.04420600086450577,0.04054346680641174,658992000,0.0,0.0,2024-10-09,max,1wk
1999-07-12 00:00:00-04:00,0.046875,0.048177000135183334,0.04427099972963333,0.04570300132036209,0.04191642627120018,918768000,0.0,0.0,2024-10-09,max,1wk
1999-07-19 00:00:00-04:00,0.04583299905061722,0.04596399888396263,0.04010400176048279,0.040495000779628754,0.03713992238044739,627984000,0.0,0.0,2024-10-09,max,1wk
1999-07-26 00:00:00-04:00,0.04153599962592125,0.04296899959445,0.04010400176048279,0.041926998645067215,0.03845328465104103,1244448000,0.0,0.0,2024-10-09,max,1wk
1999-08-02 00:00:00-04:00,0.041926998645067215,0.042447999119758606,0.04062499850988388,0.041926998645067215,0.03845328465104103,1083072000,0.0,0.0,2024-10-09,max,1wk
1999-08-09 00:00:00-04:00,0.04205700010061264,0.04895799979567528,0.04166699945926666,0.047265999019145966,0.04334993660449982,765120000,0.0,0.0,2024-10-09,max,1wk
1999-08-16 00:00:00-04:00,0.04765599966049194,0.05911500006914139,0.043880000710487366,0.05598999932408333,0.05135113373398781,3016944000,0.0,0.0,2024-10-09,max,1wk
1999-08-23 00:00:00-04:00,0.0552080012857914,0.05624999850988388,0.049219001084566116,0.0541669987142086,0.04967917501926422,2084160000,0.0,0.0,2024-10-09,max,1wk
1999-08-30 00:00:00-04:00,0.05507799983024597,0.05885399878025055,0.05169299989938736,0.05559900030493736,0.05099252611398697,2110800000,0.0,0.0,2024-10-09,max,1wk
1999-09-06 00:00:00-04:00,0.05651000142097473,0.05651000142097473,0.05338500067591667,0.0552080012857914,0.050633933395147324,671376000,0.0,0.0,2024-10-09,max,1wk
1999-09-13 00:00:00-04:00,0.05546899884939194,0.05546899884939194,0.04895799979567528,0.05078100040555,0.04657371714711189,967296000,0.0,0.0,2024-10-09,max,1wk
1999-09-20 00:00:00-04:00,0.049869999289512634,0.05052100121974945,0.03489600121974945,0.03776000067591667,0.03463151678442955,2406912000,0.0,0.0,2024-10-09,max,1wk
1999-09-27 00:00:00-04:00,0.040233999490737915,0.04635399952530861,0.03776000067591667,0.03984399884939194,0.036542858928442,2129520000,0.0,0.0,2024-10-09,max,1wk
1999-10-04 00:00:00-04:00,0.04114599898457527,0.05208300054073334,0.04010400176048279,0.04895799979567528,0.044901758432388306,3050640000,0.0,0.0,2024-10-09,max,1wk
1999-10-11 00:00:00-04:00,0.04934899881482124,0.04947900027036667,0.042447999119758606,0.044530998915433884,0.04084153473377228,1550880000,0.0,0.0,2024-10-09,max,1wk
1999-10-18 00:00:00-04:00,0.04466100037097931,0.04622400179505348,0.03971400111913681,0.04492200165987015,0.04120013490319252,1541712000,0.0,0.0,2024-10-09,max,1wk
1999-10-25 00:00:00-04:00,0.04466100037097931,0.04843800142407417,0.042447999119758606,0.04609400033950806,0.042275041341781616,1462512000,0.0,0.0,2024-10-09,max,1wk
1999-11-01 00:00:00-05:00,0.04531300067901611,0.06302099674940109,0.04531300067901611,0.05885399878025055,0.053977854549884796,5508432000,0.0,0.0,2024-10-09,max,1wk
1999-11-08 00:00:00-05:00,0.057030998170375824,0.06666699796915054,0.0552080012857914,0.06666699796915054,0.06114353612065315,1950624000,0.0,0.0,2024-10-09,max,1wk
1999-11-15 00:00:00-05:00,0.06712199747562408,0.09244800359010696,0.06432300060987473,0.0893229991197586,0.08192244917154312,4273536000,0.0,0.0,2024-10-09,max,1wk
1999-11-22 00:00:00-05:00,0.09160199761390686,0.09166699647903442,0.07408899813890457,0.07968799769878387,0.073085717856884,1572048000,0.0,0.0,2024-10-09,max,1wk
1999-11-29 00:00:00-05:00,0.07942699640989304,0.08359400182962418,0.07213500142097473,0.07942699640989304,0.07284635305404663,1489488000,0.0,0.0,2024-10-09,max,1wk
1999-12-06 00:00:00-05:00,0.07968799769878387,0.08437500149011612,0.07578100264072418,0.07903599739074707,0.0724877268075943,879936000,0.0,0.0,2024-10-09,max,1wk
1999-12-13 00:00:00-05:00,0.078125,0.0808589980006218,0.07317700237035751,0.07838500291109085,0.0718906819820404,1058352000,0.0,0.0,2024-10-09,max,1wk
1999-12-20 00:00:00-05:00,0.07851599901914597,0.09687499701976776,0.07578100264072418,0.09661500155925751,0.08861031383275986,1322208000,0.0,0.0,2024-10-09,max,1wk
1999-12-27 00:00:00-05:00,0.09869799762964249,0.09882800281047821,0.09192699939012527,0.09778600186109543,0.08968427032232285,780864000,0.0,0.0,2024-10-09,max,1wk
2000-01-03 00:00:00-05:00,0.09843800216913223,0.09921900182962418,0.08229199796915054,0.08724000304937363,0.0800120159983635,981408000,0.0,0.0,2024-10-09,max,1wk
2000-01-10 00:00:00-05:00,0.08749999850988388,0.09518200159072876,0.08307299762964249,0.09153600037097931,0.08395208418369293,1248288000,0.0,0.0,2024-10-09,max,1wk
2000-01-17 00:00:00-05:00,0.09270799905061722,0.10052099823951721,0.08854199945926666,0.09322900325059891,0.08550482243299484,1150176000,0.0,0.0,2024-10-09,max,1wk
2000-01-24 00:00:00-05:00,0.09622400254011154,0.09622400254011154,0.07474000006914139,0.07786499708890915,0.07141375541687012,1379184000,0.0,0.0,2024-10-09,max,1wk
2000-01-31 00:00:00-05:00,0.07825499773025513,0.08554700016975403,0.07291699945926666,0.08450499922037125,0.07750362902879715,656352000,0.0,0.0,2024-10-09,max,1wk
2000-02-07 00:00:00-05:00,0.08489599823951721,0.10781300067901611,0.07916700094938278,0.10416699945926666,0.09553660452365875,2669232000,0.0,0.0,2024-10-09,max,1wk
2000-02-14 00:00:00-05:00,0.10442700237035751,0.14218799769878387,0.10338500142097473,0.14036500453948975,0.1287355273962021,3616800000,0.0,0.0,2024-10-09,max,1wk
2000-02-21 00:00:00-05:00,0.13593800365924835,0.138932004570961,0.12187500298023224,0.12747399508953094,0.11691255867481232,1576944000,0.0,0.0,2024-10-09,max,1wk
2000-02-28 00:00:00-05:00,0.12682299315929413,0.13489599525928497,0.11979199945926666,0.12265600264072418,0.11249375343322754,1672224000,0.0,0.0,2024-10-09,max,1wk
2000-03-06 00:00:00-05:00,0.12343800067901611,0.30208298563957214,0.12083300203084946,0.24583299458026886,0.2254653424024582,6167184000,0.0,0.0,2024-10-09,max,1wk
2000-03-13 00:00:00-05:00,0.22291700541973114,0.3125,0.19163399934768677,0.20807300508022308,0.19083385169506073,6286560000,0.0,0.0,2024-10-09,max,1wk
2000-03-20 00:00:00-05:00,0.21627600491046906,0.2231770008802414,0.18125000596046448,0.19414100050926208,0.17805606126785278,1673520000,0.0,0.0,2024-10-09,max,1wk
2000-03-27 00:00:00-05:00,0.19374999403953552,0.20000000298023224,0.14687499403953552,0.17600899934768677,0.1614263504743576,2576592000,0.0,0.0,2024-10-09,max,1wk
2000-04-03 00:00:00-04:00,0.1744139939546585,0.21875,0.11874999850988388,0.2136719971895218,0.19596892595291138,2206512000,0.0,0.0,2024-10-09,max,1wk
2000-04-10 00:00:00-04:00,0.21731799840927124,0.2299479991197586,0.13645799458026886,0.143326997756958,0.13145215809345245,1901520000,0.0,0.0,2024-10-09,max,1wk
2000-04-17 00:00:00-04:00,0.13124999403953552,0.1869789958000183,0.13124999403953552,0.1679690033197403,0.1540524810552597,1203888000,0.0,0.0,2024-10-09,max,1wk
2000-04-24 00:00:00-04:00,0.15833300352096558,0.20000000298023224,0.15130199491977692,0.18567700684070587,0.17029336094856262,1169808000,0.0,0.0,2024-10-09,max,1wk
2000-05-01 00:00:00-04:00,0.19270800054073334,0.20286500453948975,0.16666699945926666,0.1919270008802414,0.17602552473545074,1094400000,0.0,0.0,2024-10-09,max,1wk
2000-05-08 00:00:00-04:00,0.1869789958000183,0.19374999403953552,0.16276000440120697,0.16614599525928497,0.1523805558681488,1069776000,0.0,0.0,2024-10-09,max,1wk
2000-05-15 00:00:00-04:00,0.16536499559879303,0.2388020008802414,0.15729199349880219,0.21276000142097473,0.19513250887393951,2970240000,0.0,0.0,2024-10-09,max,1wk
2000-05-22 00:00:00-04:00,0.2104170024394989,0.24570299685001373,0.19179700314998627,0.21985700726509094,0.20164154469966888,2787984000,0.0,0.0,2024-10-09,max,1wk
2000-05-29 00:00:00-04:00,0.22578099370002747,0.27708300948143005,0.22473999857902527,0.2740890085697174,0.2513802945613861,1784352000,0.0,0.0,2024-10-09,max,1wk
2000-06-05 00:00:00-04:00,0.27369800209999084,0.29374998807907104,0.24583299458026886,0.2634109854698181,0.24158693850040436,2128128000,0.0,0.0,2024-10-09,max,1wk
2000-06-12 00:00:00-04:00,0.2645829916000366,0.3125,0.24791699647903442,0.3119789958000183,0.2861310839653015,2429376000,0.0,0.0,2024-10-09,max,1wk
2000-06-19 00:00:00-04:00,0.31119799613952637,0.3666670024394989,0.3033849895000458,0.308463990688324,0.28290727734565735,3499056000,0.0,0.0,2024-10-09,max,1wk
2000-06-26 00:00:00-04:00,0.3145830035209656,0.34843799471855164,0.23958300054073334,0.26484400033950806,0.24290122091770172,4203576000,0.0,2.0,2024-10-09,max,1wk
