Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
1980-03-17 00:00:00-05:00,0.0,3.3020830154418945,3.125,3.1458330154418945,3.1458330154418945,219600,0.0,0.0,2024-09-20,max,5d
1980-03-27 00:00:00-05:00,0.0,2.375,2.2395830154418945,2.375,2.375,1129200,0.0,0.0,2024-09-20,max,5d
1980-04-01 00:00:00-05:00,0.0,2.7708330154418945,2.5833330154418945,2.7395830154418945,2.7395830154418945,492000,0.0,0.0,2024-09-20,max,5d
1980-04-11 00:00:00-05:00,0.0,2.7708330154418945,2.6354169845581055,2.6354169845581055,2.6354169845581055,109200,0.0,0.0,2024-09-20,max,5d
1980-04-16 00:00:00-05:00,0.0,2.5729169845581055,2.34375,2.3541669845581055,2.3541669845581055,358800,0.0,0.0,2024-09-20,max,5d
1980-04-21 00:00:00-05:00,0.0,2.3645830154418945,2.28125,2.2916669845581055,2.2916669845581055,498000,0.0,0.0,2024-09-20,max,5d
1980-05-01 00:00:00-04:00,0.0,2.5416669845581055,2.4583330154418945,2.4583330154418945,2.4583330154418945,505200,0.0,0.0,2024-09-20,max,5d
1980-05-06 00:00:00-04:00,0.0,2.7291669845581055,2.5833330154418945,2.6875,2.6875,386400,0.0,0.0,2024-09-20,max,5d
1980-05-16 00:00:00-04:00,0.0,2.7395830154418945,2.6458330154418945,2.6666669845581055,2.6666669845581055,135600,0.0,0.0,2024-09-20,max,5d
1980-05-21 00:00:00-04:00,0.0,2.8020830154418945,2.7395830154418945,2.78125,2.78125,512400,0.0,0.0,2024-09-20,max,5d
1980-06-05 00:00:00-04:00,0.0,3.125,3.0208330154418945,3.0208330154418945,3.0208330154418945,147600,0.0,0.0,2024-09-20,max,5d
1980-06-10 00:00:00-04:00,0.0,2.96875,2.8645830154418945,2.96875,2.96875,464400,0.0,0.0,2024-09-20,max,5d
1980-06-20 00:00:00-04:00,0.0,2.9375,2.9270830154418945,2.9270830154418945,2.9270830154418945,99600,0.0,0.0,2024-09-20,max,5d
1980-06-25 00:00:00-04:00,0.0,3.1041669845581055,2.9479169845581055,3.0729169845581055,3.0729169845581055,358800,0.0,0.0,2024-09-20,max,5d
1980-06-30 00:00:00-04:00,0.0,3.0729169845581055,3.0104169845581055,3.0416669845581055,3.0416669845581055,205200,0.0,0.0,2024-09-20,max,5d
1980-07-10 00:00:00-04:00,0.0,3.5625,3.4270830154418945,3.5,3.5,318000,0.0,0.0,2024-09-20,max,5d
1980-07-15 00:00:00-04:00,0.0,3.8229169845581055,3.7083330154418945,3.7083330154418945,3.7083330154418945,583200,0.0,0.0,2024-09-20,max,5d
1980-07-25 00:00:00-04:00,0.0,3.5833330154418945,3.5,3.5104169845581055,3.5104169845581055,260400,0.0,0.0,2024-09-20,max,5d
1980-07-30 00:00:00-04:00,0.0,4.1041669845581055,3.90625,4.03125,4.03125,711600,0.0,0.0,2024-09-20,max,5d
1980-08-04 00:00:00-04:00,0.0,4.3333330154418945,4.21875,4.3125,4.3125,290400,0.0,0.0,2024-09-20,max,5d
1980-08-14 00:00:00-04:00,0.0,4.4270830154418945,4.2708330154418945,4.3854169845581055,4.3854169845581055,428400,0.0,0.0,2024-09-20,max,5d
1980-08-19 00:00:00-04:00,0.0,4.1041669845581055,3.9166669845581055,3.9479169845581055,3.9479169845581055,639600,0.0,0.0,2024-09-20,max,5d
1980-08-29 00:00:00-04:00,0.0,4.28125,4.1354169845581055,4.2708330154418945,4.2708330154418945,613200,0.0,0.0,2024-09-20,max,5d
1980-09-03 00:00:00-04:00,0.0,4.4791669845581055,4.25,4.4375,4.4375,350400,0.0,0.0,2024-09-20,max,5d
1980-09-08 00:00:00-04:00,0.0,4.5208330154418945,4.28125,4.3020830154418945,4.3020830154418945,309600,0.0,0.0,2024-09-20,max,5d
1980-09-18 00:00:00-04:00,0.0,4.8125,4.7083330154418945,4.7395830154418945,4.7395830154418945,588000,0.0,0.0,2024-09-20,max,5d
1980-09-23 00:00:00-04:00,0.0,5.78125,5.375,5.4270830154418945,5.4270830154418945,972000,0.0,0.0,2024-09-20,max,5d
1980-10-03 00:00:00-04:00,0.0,5.2395830154418945,4.9166669845581055,5.1770830154418945,5.1770830154418945,547200,0.0,0.0,2024-09-20,max,5d
