Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-01-02 00:00:00-05:00,6.090000152587891,6.329999923706055,6.010000228881836,6.110000133514404,6.110000133514404,13559500,0.0,0.0,2024-09-20,ytd,5d
2024-01-12 00:00:00-05:00,4.670000076293945,4.789999961853027,4.46999979019165,4.559999942779541,4.559999942779541,14390800,0.0,0.0,2024-09-20,ytd,5d
2024-01-17 00:00:00-05:00,4.070000171661377,4.260000228881836,4.010000228881836,4.110000133514404,4.110000133514404,15468000,0.0,0.0,2024-09-20,ytd,5d
2024-01-22 00:00:00-05:00,4.599999904632568,4.809999942779541,4.429999828338623,4.480000019073486,4.480000019073486,14325900,0.0,0.0,2024-09-20,ytd,5d
2024-02-01 00:00:00-05:00,4.099999904632568,4.150000095367432,4.019999980926514,4.059999942779541,4.059999942779541,10616900,0.0,0.0,2024-09-20,ytd,5d
2024-02-06 00:00:00-05:00,3.6500000953674316,4.159999847412109,3.5899999141693115,4.070000171661377,4.070000171661377,20639700,0.0,0.0,2024-09-20,ytd,5d
2024-02-16 00:00:00-05:00,4.769999980926514,4.949999809265137,4.619999885559082,4.829999923706055,4.829999923706055,10204400,0.0,0.0,2024-09-20,ytd,5d
2024-02-21 00:00:00-05:00,4.590000152587891,4.820000171661377,4.510000228881836,4.570000171661377,4.570000171661377,8125600,0.0,0.0,2024-09-20,ytd,5d
2024-02-26 00:00:00-05:00,4.460000038146973,4.610000133514404,4.369999885559082,4.449999809265137,4.449999809265137,10444100,0.0,0.0,2024-09-20,ytd,5d
2024-03-07 00:00:00-05:00,4.599999904632568,4.900000095367432,4.519999980926514,4.599999904632568,4.599999904632568,19618800,0.0,0.0,2024-09-20,ytd,5d
2024-03-12 00:00:00-04:00,4.380000114440918,4.409999847412109,4.269999980926514,4.340000152587891,4.340000152587891,7131900,0.0,0.0,2024-09-20,ytd,5d
2024-03-22 00:00:00-04:00,4.170000076293945,4.179999828338623,4.059999942779541,4.079999923706055,4.079999923706055,7275400,0.0,0.0,2024-09-20,ytd,5d
2024-03-27 00:00:00-04:00,4.130000114440918,4.369999885559082,4.070000171661377,4.340000152587891,4.340000152587891,12992400,0.0,0.0,2024-09-20,ytd,5d
2024-04-01 00:00:00-04:00,3.740000009536743,3.7699999809265137,3.119999885559082,3.140000104904175,3.140000104904175,46101700,0.0,0.0,2024-09-20,ytd,5d
2024-04-11 00:00:00-04:00,2.890000104904175,2.890000104904175,2.7300000190734863,2.799999952316284,2.799999952316284,15594600,0.0,0.0,2024-09-20,ytd,5d
2024-04-16 00:00:00-04:00,2.440000057220459,2.890000104904175,2.380000114440918,2.7200000286102295,2.7200000286102295,31338600,0.0,0.0,2024-09-20,ytd,5d
2024-04-26 00:00:00-04:00,3.2799999713897705,3.490000009536743,3.2200000286102295,3.4100000858306885,3.4100000858306885,15423900,0.0,0.0,2024-09-20,ytd,5d
2024-05-01 00:00:00-04:00,2.9200000762939453,3.069999933242798,2.8399999141693115,2.9700000286102295,2.9700000286102295,14782600,0.0,0.0,2024-09-20,ytd,5d
2024-05-06 00:00:00-04:00,3.259999990463257,3.440000057220459,3.0399999618530273,3.2899999618530273,3.2899999618530273,41059300,0.0,0.0,2024-09-20,ytd,5d
2024-05-16 00:00:00-04:00,5.050000190734863,5.300000190734863,4.619999885559082,4.639999866485596,4.639999866485596,129501900,0.0,0.0,2024-09-20,ytd,5d
2024-05-21 00:00:00-04:00,4.670000076293945,5.110000133514404,4.599999904632568,4.650000095367432,4.650000095367432,67250500,0.0,0.0,2024-09-20,ytd,5d
2024-05-31 00:00:00-04:00,4.25,4.389999866485596,4.099999904632568,4.329999923706055,4.329999923706055,29705800,0.0,0.0,2024-09-20,ytd,5d
2024-06-05 00:00:00-04:00,4.710000038146973,5.309999942779541,4.619999885559082,5.150000095367432,5.150000095367432,61745800,0.0,0.0,2024-09-20,ytd,5d
2024-06-10 00:00:00-04:00,4.929999828338623,4.980000019073486,4.559999942779541,4.710000038146973,4.710000038146973,30729800,0.0,0.0,2024-09-20,ytd,5d
2024-06-20 00:00:00-04:00,4.820000171661377,4.980000019073486,4.71999979019165,4.809999942779541,4.809999942779541,18315900,0.0,0.0,2024-09-20,ytd,5d
2024-06-25 00:00:00-04:00,4.5,4.539999961853027,4.329999923706055,4.53000020980835,4.53000020980835,18788900,0.0,0.0,2024-09-20,ytd,5d
2024-07-05 00:00:00-04:00,5.059999942779541,5.159999847412109,4.949999809265137,5.050000190734863,5.050000190734863,10995900,0.0,0.0,2024-09-20,ytd,5d
2024-07-10 00:00:00-04:00,5.480000019073486,5.619999885559082,5.159999847412109,5.210000038146973,5.210000038146973,20709900,0.0,0.0,2024-09-20,ytd,5d
2024-07-15 00:00:00-04:00,5.269999980926514,5.420000076293945,5.199999809265137,5.329999923706055,5.329999923706055,18449500,0.0,0.0,2024-09-20,ytd,5d
2024-07-25 00:00:00-04:00,4.710000038146973,5.179999828338623,4.659999847412109,5.139999866485596,5.139999866485596,20827500,0.0,0.0,2024-09-20,ytd,5d
2024-07-30 00:00:00-04:00,5.159999847412109,5.340000152587891,5.110000133514404,5.110000133514404,5.110000133514404,14632100,0.0,0.0,2024-09-20,ytd,5d
2024-08-09 00:00:00-04:00,4.989999771118164,5.159999847412109,4.96999979019165,5.0,5.0,8433500,0.0,0.0,2024-09-20,ytd,5d
2024-08-14 00:00:00-04:00,5.139999866485596,5.179999828338623,4.980000019073486,5.119999885559082,5.119999885559082,9934200,0.0,0.0,2024-09-20,ytd,5d
2024-08-19 00:00:00-04:00,5.03000020980835,5.099999904632568,4.96999979019165,5.010000228881836,5.010000228881836,8796400,0.0,0.0,2024-09-20,ytd,5d
2024-08-29 00:00:00-04:00,4.909999847412109,4.960000038146973,4.760000228881836,4.820000171661377,4.820000171661377,7446200,0.0,0.0,2024-09-20,ytd,5d
2024-09-03 00:00:00-04:00,4.829999923706055,4.849999904632568,4.630000114440918,4.630000114440918,4.630000114440918,9174400,0.0,0.0,2024-09-20,ytd,5d
2024-09-13 00:00:00-04:00,4.929999828338623,5.010000228881836,4.900000095367432,4.960000038146973,4.960000038146973,4974300,0.0,0.0,2024-09-20,ytd,5d
2024-09-18 00:00:00-04:00,4.849999904632568,4.900000095367432,4.635000228881836,4.650000095367432,4.650000095367432,16758879,0.0,0.0,2024-09-20,ytd,5d
